code,name,status
BSC-CS,B.Sc Computer Science,Active
BSC-MATH,B.Sc Mathematics,Active
BSC-PHY,B.Sc Physics,Active
BSC-CHEM,B.Sc Chemistry,Active
BSC-BIO,B.Sc Biology,Active
BA-ENG,B.A English,Active
BA-HIS,B.A History,Active
BA-ECO,B.A Economics,Active
BA-TAM,B.A Tamil,Active
BCOM,B.Com,Active
BCOM-CA,B.Com Computer Applications,Active
BBA,B.B.A,Active
BCA,B.C.A,Active
MSC-CS,M.Sc Computer Science,Active
MSC-MATH,M.Sc Mathematics,Active
MA-ENG,M.A English,Active
MCOM,M.Com,Active
BSC-STAT,B.Sc Statistics,Active
BSC-MICRO,B.Sc Microbiology,Active
BSC-BT,B.Sc Biotechnology,Active
DEPT021,Department 21,Active
DEPT022,Department 22,Active
DEPT023,Department 23,Active
DEPT024,Department 24,Active
DEPT025,Department 25,Active
DEPT026,Department 26,Active
DEPT027,Department 27,Active
DEPT028,Department 28,Active
DEPT029,Department 29,Active
DEPT030,Department 30,Active
DEPT031,Department 31,Active
DEPT032,Department 32,Active
DEPT033,Department 33,Active
DEPT034,Department 34,Active
DEPT035,Department 35,Active
DEPT036,Department 36,Active
DEPT037,Department 37,Active
DEPT038,Department 38,Active
DEPT039,Department 39,Active
DEPT040,Department 40,Active
DEPT041,Department 41,Active
DEPT042,Department 42,Active
DEPT043,Department 43,Active
DEPT044,Department 44,Active
DEPT045,Department 45,Active
DEPT046,Department 46,Active
DEPT047,Department 47,Active
DEPT048,Department 48,Active
DEPT049,Department 49,Active
DEPT050,Department 50,Active
